方向,变量,NodeId,关联轴,单位,说明
回读,DB_PLC_to_SW.Pos[0],ns=3;s="DB_PLC_to_SW"."Pos[0]",X1,mm,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Pos[1],ns=3;s="DB_PLC_to_SW"."Pos[1]",Z1,mm,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Pos[2],ns=3;s="DB_PLC_to_SW"."Pos[2]",Y1,mm,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Pos[3],ns=3;s="DB_PLC_to_SW"."Pos[3]",X2,mm,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Pos[4],ns=3;s="DB_PLC_to_SW"."Pos[4]",Z2,mm,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Pos[5],ns=3;s="DB_PLC_to_SW"."Pos[5]",X3,mm,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Pos[6],ns=3;s="DB_PLC_to_SW"."Pos[6]",YA,mm,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Pos[7],ns=3;s="DB_PLC_to_SW"."Pos[7]",YB,mm,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Vel[0],ns=3;s="DB_PLC_to_SW"."Vel[0]",X1,mm/s,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Vel[1],ns=3;s="DB_PLC_to_SW"."Vel[1]",Z1,mm/s,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Vel[2],ns=3;s="DB_PLC_to_SW"."Vel[2]",Y1,mm/s,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Vel[3],ns=3;s="DB_PLC_to_SW"."Vel[3]",X2,mm/s,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Vel[4],ns=3;s="DB_PLC_to_SW"."Vel[4]",Z2,mm/s,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Vel[5],ns=3;s="DB_PLC_to_SW"."Vel[5]",X3,mm/s,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Vel[6],ns=3;s="DB_PLC_to_SW"."Vel[6]",YA,mm/s,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Vel[7],ns=3;s="DB_PLC_to_SW"."Vel[7]",YB,mm/s,工程值回读；行程/零点待回执
回读,DB_PLC_to_SW.Status,ns=3;s="DB_PLC_to_SW"."Status",—,—,状态字（位域）
回读,DB_PLC_to_SW.Heartbeat,ns=3;s="DB_PLC_to_SW"."Heartbeat",—,—,心跳计数
回读,DB_PLC_to_SW.Ack,ns=3;s="DB_PLC_to_SW"."Ack",—,—,应答字（握手）
回读,DB_PLC_to_SW.AlarmWord,ns=3;s="DB_PLC_to_SW"."AlarmWord",—,—,报警字（位域）
回读,DB_PLC_to_SW.SeqID,ns=3;s="DB_PLC_to_SW"."SeqID",—,—,批次号（回显）
回读,DB_PLC_to_SW.CurSeg,ns=3;s="DB_PLC_to_SW"."CurSeg",—,—,当前段号
下发,DB_SW_to_PLC.Cmd,ns=3;s="DB_SW_to_PLC"."Cmd",—,—,命令字（脉冲式，写后清零）
下发,DB_SW_to_PLC.SeqID,ns=3;s="DB_SW_to_PLC"."SeqID",—,—,批次号
下发,DB_SW_to_PLC.SegCount,ns=3;s="DB_SW_to_PLC"."SegCount",—,—,本批段数
下发,DB_SW_to_PLC.SpeedOverride,ns=3;s="DB_SW_to_PLC"."SpeedOverride",—,%,速度倍率（%）
下发,DB_SW_to_PLC.Seg,ns=3;s="DB_SW_to_PLC"."Seg",—,—,段数组（批量写入，工步经此下发）
